Araç 28 (TR): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 5 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 27 (TR): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 13 (MB): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 0 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 7 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 19 (MB): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 10 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 4 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 9 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 12 (MB): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 6 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 8 (C): B'ye 2. seferde gitti, A'ya 5. seferde döndü.
Araç 3 (C): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 2 (C): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 18 (MB): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 21 (MB): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 23 (TR): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 26 (TR): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 24 (TR): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 22 (TR): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 11 (C): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 1 (C): B'ye 4. seferde gitti, A'ya 7. seferde döndü.
Araç 17 (MB): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 25 (TR): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 29 (TR): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 16 (MB): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 20 (MB): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 15 (MB): B'ye 6. seferde gitti, A'ya 9. seferde döndü.
Araç 14 (MB): B'ye 6. seferde gitti, A'ya 9. seferde döndü.

📊 Total Trip Time: 8 seconds
